info_id,date,time,lineName,directionCode1,directionCode2,all,station_from,station_to,cse
0,20191220,8:04,A,1,1,1,-,-,車両点検
1,20191220,8:09,A,1,1,1,-,-,車両点検
2,20191220,8:14,A,1,1,1,-,-,車両点検
3,20191220,8:16,A,1,1,1,-,-,車両点検
4,20191220,8:25,A,1,1,1,-,-,車両点検
5,20191220,8:27,A,1,1,1,-,-,車両点検
6,20191220,8:34,A,1,1,1,-,-,車両点検
7,20191220,8:37,A,1,1,1,-,-,車両点検
8,20191220,8:50,A,1,1,1,-,-,車両点検
9,20191220,9:03,A,1,1,1,-,-,車両点検
10,20191220,9:25,A,1,1,1,-,-,車両点検
11,20191220,9:28,A,1,1,1,-,-,車両点検
12,20191220,9:35,A,1,1,1,-,-,車両点検
13,20191220,9:47,A,1,1,1,-,-,車両点検
14,20200108,7:43,A,1,0,1,-,-,車両点検
15,20200108,7:50,A,1,1,1,-,-,異音の確認
16,20200108,7:52,A,1,1,1,-,-,異音の確認
17,20200108,8:02,A,1,1,1,-,-,異音の確認
18,20200108,8:04,A,1,1,1,-,-,異音の確認
19,20200108,8:07,A,1,1,1,-,-,異音の確認
20,20200108,8:10,A,1,1,1,-,-,異音の確認
21,20200108,8:12,A,1,1,1,-,-,異音の確認
22,20200108,8:13,A,1,1,1,-,-,異音の確認
23,20200108,8:14,A,1,1,1,-,-,異音の確認
24,20200108,8:15,A,1,1,1,-,-,異音の確認
25,20200108,8:16,A,1,1,1,-,-,異音の確認
26,20200108,8:19,A,1,1,1,-,-,異音の確認
27,20200108,8:21,A,1,1,1,-,-,異音の確認
28,20200108,8:23,A,1,1,1,-,-,異音の確認
29,20200108,8:24,A,1,1,1,-,-,異音の確認
30,20200108,8:25,A,1,1,1,-,-,異音の確認
31,20200108,8:26,A,1,1,1,-,-,異音の確認
32,20200108,8:30,A,1,1,1,-,-,異音の確認
33,20200108,8:32,A,1,1,1,-,-,異音の確認
34,20200108,8:34,A,1,1,1,-,-,異音の確認
