network_id,station1,station2
1,vpGT,Femc
2,Femc,dJlm
3,dJlm,jebQ
4,jebQ,PsTo
5,PsTo,mxQg
6,mxQg,CTnl
7,CTnl,AFTQ
8,AFTQ,aCxM
9,aCxM,wbkB
10,wbkB,tncu
11,tncu,ufGe
12,ufGe,stJE
13,stJE,jPbe
14,jPbe,tPfo
15,tPfo,RUhy
16,RUhy,APgF
17,APgF,zUdG
18,zUdG,fpRv
19,fpRv,QCTc
20,QCTc,KsBm
21,KsBm,NqOG
22,NqOG,TlTg
23,NqOG,qzrJ
24,qzrJ,HOLt
25,HOLt,OJng
26,OJng,iHon
27,iHon,GLXs
28,GLXs,SvNu
29,SvNu,cRgf
30,cRgf,RDLf
31,RDLf,ejfb
32,ejfb,PcxI
33,PcxI,efzW
34,efzW,jhlV
35,jhlV,VNyR
36,VNyR,LMww
37,LMww,coZB
38,coZB,Rlfq
39,Rlfq,daXW
40,daXW,trdb
41,qzWm,UUlH
42,UUlH,lUUx
43,lUUx,rGbD
44,rGbD,OpgJ
45,OpgJ,FPFv
46,FPFv,mjPK
47,mjPK,uQdT
48,uQdT,zNdV
49,zNdV,KReX
50,KReX,aVeu
51,aVeu,oNkU
52,oNkU,vcLy
53,vcLy,cvCM
54,cvCM,EoNR
55,EoNR,qdzg
56,qdzg,lCym
57,lCym,DTSj
58,DTSj,hwjA
59,hwjA,PYtN
60,PYtN,KpNq
61,KpNq,ZcpD
62,ZcpD,QkqQ
63,QkqQ,TaOj
64,TaOj,yuIQ
65,yuIQ,TlTg
66,TlTg,KsBm
67,KsBm,ReJL
68,ReJL,yUYG
69,yUYG,CbCQ
70,CbCQ,aMqH
71,aMqH,bgbz
72,bgbz,LKUe
73,LKUe,LglK
74,LglK,cbJh
75,cbJh,daBI
76,daBI,MQfL
77,MQfL,jdBM
78,jdBM,xKSN
79,xKSN,qCwi
80,qCwi,sLAH
81,sLAH,ugLy
82,ugLy,GsES
83,GsES,ntaA
84,ntaA,Zlsb
85,SAOS,thmK
86,thmK,fXMY
87,fXMY,vzmD
88,vzmD,fRXM
89,fRXM,djPS
90,djPS,cRgf
91,RDLf,Gftx
92,Gftx,daSA
93,daSA,tNrH
94,tNrH,mKyE
95,mKyE,IXNJ
96,IXNJ,NLJh
97,NLJh,fmwC
98,fmwC,LKUe
99,hwjA,SAOS
100,NqOG,iHon
101,iHon,RDLf
102,RDLf,efzW
103,trdb,tCey
104,tCey,GgOD
105,GgOD,Hzeg
106,Hzeg,fZfY
107,fZfY,UMoa
108,UMoa,GxuL
109,UMoa,BCRD
110,BCRD,AVjc
111,AVjc,uYlv
112,uYlv,wwYD
113,wwYD,mkGW
114,mkGW,rKwb
